gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,charges.monthly,charges.total,contas_diarias,internetservice_Fiber optic,internetservice_No,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,churn_real,churn_predito,prob_churn
1,0,0,0,3,1,0,0,1,0,0,0,0,0,74.45,221.1,2.481666666666667,1,0,0,0,1,0,0,0,1,0.66
0,0,0,0,1,1,1,0,0,0,0,0,0,1,50.1,50.1,1.6700000000000002,0,0,0,0,0,1,0,0,1,0.69
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.15,123.8,2.3383333333333334,1,0,0,0,0,1,0,0,1,0.58
1,0,1,1,20,1,0,0,0,0,0,1,1,1,90.2,1776.55,3.006666666666667,1,0,0,0,0,1,0,1,0,0.4525
1,0,0,0,7,1,1,0,0,1,0,1,0,1,90.45,593.45,3.015,1,0,0,0,0,1,0,1,1,0.68
0,0,0,0,10,1,0,0,0,0,0,0,0,1,21.2,222.65,0.7066666666666667,0,1,0,0,0,1,0,0,0,0.21
0,0,1,0,71,1,0,0,0,0,0,0,0,1,20.9,1493.2,0.6966666666666667,0,1,0,1,0,0,0,0,0,0.02
0,0,0,0,72,1,1,1,1,1,1,1,1,1,116.45,8013.55,3.881666666666667,1,0,0,1,0,0,0,0,0,0.07
1,1,1,0,8,1,0,0,0,1,1,0,1,1,64.4,581.7,2.146666666666667,0,0,0,0,1,0,0,0,0,0.24666666666666665
1,0,1,1,58,1,1,0,0,1,1,1,1,1,105.05,6004.85,3.5016666666666665,1,0,1,0,0,0,0,0,0,0.41
1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,2.3233333333333333,1,0,0,0,0,1,0,1,1,0.88
1,0,1,1,4,1,0,0,0,0,1,0,1,0,61.45,229.55,2.0483333333333333,0,0,0,0,1,0,0,1,0,0.2333333333333333
1,0,1,1,20,1,0,0,0,0,0,0,0,1,70.45,1470.95,2.3483333333333336,1,0,0,0,0,1,0,1,1,0.63
1,0,1,1,41,1,0,0,0,0,0,0,0,1,20.0,879.8,0.6666666666666666,0,1,0,1,0,0,1,0,0,0.0
0,0,0,0,55,1,0,0,1,1,0,0,0,1,81.55,4509.5,2.7183333333333333,1,0,0,0,0,1,0,0,1,0.6966666666666665
0,0,1,1,72,1,0,0,0,0,0,0,0,1,20.1,1326.25,0.67,0,1,0,1,1,0,0,0,0,0.01
0,0,0,0,1,1,0,0,0,1,0,0,0,1,74.6,74.6,2.4866666666666664,1,0,0,0,0,0,1,1,1,0.64
1,1,0,0,5,1,0,0,0,0,0,0,0,1,70.25,331.9,2.341666666666667,1,0,0,0,0,0,1,1,0,0.265
1,0,0,0,8,1,0,0,1,0,1,1,0,1,66.65,520.95,2.2216666666666667,0,0,0,0,0,1,0,0,0,0.1
0,0,1,0,33,1,1,0,0,1,1,0,1,1,95.0,3008.15,3.1666666666666665,1,0,0,0,1,0,0,0,0,0.34
0,0,0,0,62,0,0,0,1,1,0,0,1,1,43.6,2748.7,1.4533333333333334,0,0,0,1,1,0,0,0,0,0.06
1,0,0,1,17,1,0,0,0,0,0,0,0,0,44.6,681.4,1.4866666666666668,0,0,1,0,0,0,1,0,0,0.15
1,0,1,1,59,1,0,1,1,1,1,1,1,1,86.75,5186.0,2.8916666666666666,0,0,0,1,0,1,0,0,0,0.02
0,0,1,1,47,1,0,0,0,0,0,0,0,0,20.25,873.4,0.675,0,1,0,1,1,0,0,0,0,0.0
1,0,1,1,4,1,0,0,0,0,0,0,0,1,20.5,77.6,0.6833333333333333,0,1,0,0,0,0,1,0,0,0.06
1,0,0,0,37,1,0,0,0,0,0,0,0,0,20.15,785.75,0.6716666666666666,0,1,1,0,1,0,0,0,0,0.0
0,0,0,0,3,1,0,0,1,0,0,1,1,0,95.4,293.15,3.18,1,0,0,0,0,1,0,0,1,0.94
1,0,1,1,2,1,0,0,0,0,0,0,0,0,19.85,35.9,0.6616666666666667,0,1,1,0,0,0,1,1,0,0.14
0,0,0,0,3,1,1,0,0,0,0,0,0,1,75.5,220.6,2.5166666666666666,1,0,0,0,0,1,0,1,1,0.65
1,1,0,0,6,1,0,0,0,0,0,1,0,1,79.7,497.6,2.6566666666666667,1,0,0,0,0,1,0,0,1,0.84
0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,2.688333333333333,1,0,0,0,0,1,0,1,1,0.81
0,0,1,1,0,0,0,1,1,1,1,1,0,0,56.05,1391.0,1.8683333333333327,0,0,0,1,1,0,0,0,0,0.085
0,0,1,1,71,1,1,1,1,1,1,1,1,1,90.55,6239.05,3.018333333333333,0,0,0,1,1,0,0,0,0,0.0
0,0,1,1,30,1,0,0,0,0,0,0,0,0,19.7,599.25,0.6566666666666666,0,1,0,1,0,0,1,0,0,0.0
0,1,1,0,52,1,1,0,1,1,0,1,1,1,106.5,5621.85,3.55,1,0,1,0,0,1,0,0,0,0.44
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.3,20.3,0.6766666666666666,0,1,0,0,0,0,1,0,0,0.06
0,1,1,1,14,1,1,0,0,0,0,1,1,1,95.8,1346.3,3.1933333333333334,1,0,0,0,0,1,0,0,1,0.62
0,0,0,0,57,1,1,1,1,1,0,1,1,1,112.95,6465.0,3.765,1,0,0,1,0,0,0,1,0,0.29
1,0,0,0,53,1,1,0,0,0,0,1,0,0,85.45,4517.25,2.8483333333333336,1,0,0,0,0,0,0,1,1,0.5233333333333333
0,0,1,1,54,1,1,1,1,1,1,1,1,0,91.3,4965.0,3.043333333333333,0,0,0,1,1,0,0,0,0,0.02
1,0,0,0,24,1,0,0,1,0,0,0,0,1,49.7,1218.25,1.6566666666666667,0,0,0,0,0,0,1,0,0,0.11
1,0,1,0,42,1,1,1,0,0,1,1,1,0,80.45,3375.9,2.681666666666666,0,0,1,0,1,0,0,0,0,0.15
1,0,0,0,36,1,0,0,0,0,0,0,0,1,18.55,689.0,0.6183333333333334,0,1,0,1,1,0,0,0,0,0.0
0,0,0,0,6,1,0,1,0,0,0,0,0,1,49.45,314.6,1.6483333333333334,0,0,0,0,0,1,0,0,1,0.71
0,0,0,0,8,1,1,0,0,0,0,0,0,1,74.6,548.9,2.4866666666666664,1,0,0,0,1,0,0,0,0,0.27
1,0,0,0,63,1,0,1,1,1,1,1,1,0,109.2,7049.75,3.64,1,0,0,1,1,0,0,0,0,0.25
1,1,0,0,50,1,1,1,1,0,0,1,0,1,70.35,3454.6,2.345,0,0,0,0,0,0,0,0,0,0.34
1,0,0,0,13,1,0,0,0,0,0,0,1,1,80.85,1008.7,2.695,1,0,0,0,0,1,0,1,1,0.76
1,0,0,1,10,1,1,0,0,0,0,0,0,0,24.8,223.9,0.8266666666666667,0,1,0,0,1,0,0,0,0,0.11
1,0,1,0,17,1,1,0,1,0,0,0,0,1,80.5,1336.9,2.683333333333333,1,0,0,0,0,0,0,0,1,0.6949999999999998
0,1,0,0,44,1,0,0,1,1,0,0,1,0,89.15,3990.75,2.9716666666666667,1,0,1,0,1,0,0,0,0,0.21
1,0,1,0,3,1,0,0,0,0,0,0,0,0,20.0,49.65,0.6666666666666666,0,1,0,0,0,0,0,0,0,0.26
0,0,1,1,23,1,0,1,1,0,1,0,0,1,57.75,1282.85,1.925,0,0,1,0,0,0,1,0,0,0.05
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.9,20.9,0.6966666666666667,0,1,0,0,0,0,1,0,1,1.0
0,0,1,1,23,1,1,0,0,0,0,0,0,0,23.85,625.65,0.795,0,1,0,1,0,0,1,0,0,0.05
0,0,0,0,4,0,0,1,0,1,0,0,0,0,35.0,135.75,1.1666666666666667,0,0,0,0,0,0,1,0,0,0.35
0,0,0,0,7,1,0,0,0,0,0,1,0,1,79.7,586.05,2.6566666666666667,1,0,0,0,0,1,0,1,1,0.78
0,0,0,0,26,1,1,0,0,0,0,0,0,1,74.95,1834.95,2.498333333333333,1,0,0,0,0,0,0,1,1,0.9
0,0,1,0,53,1,0,0,0,0,0,0,0,0,19.05,990.45,0.635,0,1,1,0,1,0,0,0,0,0.09
1,0,1,1,25,1,1,0,0,0,1,0,0,1,55.1,1466.1,1.836666666666667,0,0,1,0,0,0,1,0,0,0.07
1,1,0,0,3,1,1,0,0,0,0,0,0,1,77.0,237.75,2.566666666666667,1,0,0,0,0,1,0,1,1,0.9
1,0,1,1,52,1,1,0,0,1,1,0,1,1,96.25,4990.25,3.208333333333333,1,0,0,1,0,0,0,1,0,0.045
0,1,0,0,17,1,0,0,0,0,0,0,0,0,20.65,330.6,0.6883333333333332,0,1,1,0,0,0,1,0,0,0.02
1,1,0,0,33,1,1,0,1,1,0,0,0,1,83.85,2716.3,2.795,1,0,0,0,1,0,0,1,0,0.45
1,0,0,0,41,1,1,0,0,1,0,0,0,1,55.7,2237.55,1.856666666666667,0,0,0,0,0,0,0,0,1,0.53
0,0,0,0,48,1,1,0,0,0,0,0,0,0,24.55,1203.95,0.8183333333333334,0,1,1,0,0,0,0,0,0,0.026000000000000002
1,1,0,0,32,1,1,0,0,1,0,0,0,1,81.1,2619.25,2.703333333333333,1,0,0,0,1,0,0,0,0,0.48
0,0,0,0,28,0,0,0,0,1,1,0,0,1,35.75,961.4,1.1916666666666669,0,0,0,0,0,0,1,0,0,0.12
0,1,0,0,2,1,0,0,0,0,0,0,0,0,43.95,85.1,1.465,0,0,0,0,0,1,0,0,0,0.36
0,0,1,0,41,0,0,0,1,0,1,0,0,0,35.45,1391.65,1.1816666666666669,0,0,1,0,0,0,1,0,0,0.16
0,0,1,0,72,1,1,0,0,0,0,0,0,0,25.65,1887.0,0.855,0,1,0,1,0,0,0,0,0,0.0
0,0,0,0,5,1,1,0,0,0,0,0,0,0,75.55,413.65,2.518333333333333,1,0,0,0,0,1,0,1,0,0.33
0,1,0,0,2,1,0,0,1,0,0,1,0,1,83.8,163.7,2.793333333333333,1,0,0,0,0,0,0,0,1,0.65
1,0,0,0,4,1,1,0,0,0,0,0,0,1,76.05,318.9,2.535,1,0,0,0,0,1,0,1,1,0.67
1,0,0,1,1,0,0,0,1,0,0,0,0,1,31.35,31.35,1.0450000000000002,0,0,0,0,0,0,1,1,0,0.44
0,0,0,0,1,1,0,0,1,0,0,0,0,1,74.7,74.7,2.49,1,0,0,0,0,1,0,1,1,0.75
0,0,0,1,12,1,1,1,0,0,0,0,0,1,78.3,909.25,2.61,1,0,0,0,0,1,0,1,0,0.4
1,0,0,0,57,1,0,0,0,0,0,0,0,0,20.65,1125.6,0.6883333333333332,0,1,0,1,0,0,0,0,0,0.01
0,0,1,0,71,1,1,0,1,1,1,1,1,0,109.25,7707.7,3.6416666666666666,1,0,0,1,0,1,0,0,0,0.18
0,0,1,1,16,1,1,0,1,0,0,0,0,1,79.95,1267.95,2.665,1,0,0,0,1,0,0,0,1,0.56
1,0,0,0,26,1,0,0,0,1,1,1,1,1,98.65,2537.0,3.2883333333333336,1,0,0,0,0,1,0,0,0,0.29
0,1,1,0,16,1,1,0,0,0,0,0,1,1,85.35,1375.15,2.845,1,0,0,0,1,0,0,1,1,0.69
1,0,0,0,6,1,0,0,0,0,0,0,0,0,20.6,116.6,0.6866666666666668,0,1,1,0,0,0,1,0,0,0.06
0,1,1,0,24,0,0,0,0,1,0,0,1,1,40.65,933.3,1.355,0,0,0,0,1,0,0,1,0,0.345
1,0,1,1,31,1,1,1,1,0,1,0,1,1,75.25,2344.5,2.5083333333333333,0,0,1,0,0,0,0,0,0,0.05
1,0,0,0,7,1,0,0,0,0,0,0,0,1,19.95,147.5,0.6649999999999999,0,1,0,0,0,0,1,0,0,0.17
1,0,1,1,69,1,0,1,1,0,1,1,1,0,80.65,5542.55,2.688333333333333,0,0,0,1,0,0,0,0,0,0.01
0,0,1,1,47,1,0,0,0,0,0,0,0,0,20.25,873.4,0.675,0,1,0,1,1,0,0,0,0,0.0
1,0,0,0,1,1,0,0,1,0,0,0,0,0,50.8,50.8,1.6933333333333331,0,0,0,0,0,1,0,1,0,0.26
0,1,0,0,1,0,0,0,0,0,0,0,0,1,25.2,25.2,0.84,0,0,0,0,0,1,0,1,1,0.9676666666666668
1,0,1,1,58,1,0,0,1,0,0,1,1,1,92.85,5305.05,3.095,1,0,0,0,0,1,0,0,0,0.2425
1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,2.97,1,0,0,0,1,0,0,0,1,0.5766666666666667
0,1,0,0,56,1,1,0,1,1,1,1,1,1,111.95,6418.9,3.731666666666667,1,0,1,0,0,1,0,1,0,0.25
1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,2.228333333333333,0,0,1,0,1,0,0,0,0,0.07
0,0,1,1,7,0,0,0,0,0,0,0,0,1,24.7,149.05,0.8233333333333334,0,0,0,0,0,1,0,0,1,0.59
1,0,1,1,72,1,1,1,1,1,1,1,1,1,116.6,8337.45,3.8866666666666654,1,0,0,1,0,0,0,0,0,0.0
1,0,0,1,18,1,1,0,0,1,0,0,0,1,80.55,1406.65,2.685,1,0,0,0,1,0,0,0,1,0.57
1,1,1,0,70,1,1,1,1,1,1,1,1,0,90.05,6333.4,3.0016666666666665,0,0,0,1,1,0,0,0,0,0.02
0,0,0,0,35,1,1,0,0,0,0,1,0,1,86.45,3029.1,2.881666666666667,1,0,0,0,0,1,0,1,1,0.8
0,0,1,1,5,0,0,0,1,0,0,0,0,1,30.5,167.2,1.0166666666666666,0,0,0,0,0,1,0,0,1,0.63
0,1,1,0,69,1,0,1,1,0,0,0,1,0,87.3,6055.55,2.91,1,0,1,0,1,0,0,0,0,0.3158333333333333
1,0,1,1,4,1,0,0,0,0,0,0,0,0,44.8,169.65,1.4933333333333332,0,0,0,0,0,1,0,0,0,0.5
1,0,0,0,2,1,0,0,0,0,0,1,0,1,79.95,174.45,2.665,1,0,0,0,0,1,0,0,1,0.95
1,0,1,1,0,1,0,0,0,0,0,0,0,0,19.85,1391.0,0.6616666666666667,0,1,0,1,0,0,1,0,0,0.05
1,0,1,1,22,1,0,0,0,0,0,0,0,0,20.25,488.25,0.675,0,1,1,0,0,0,0,0,0,0.0
0,1,0,0,32,1,0,0,0,0,0,1,1,0,90.95,2897.95,3.0316666666666667,1,0,0,0,0,1,0,0,1,0.67
1,1,0,0,33,0,0,0,0,1,1,1,1,1,54.6,1803.7,1.82,0,0,0,0,0,1,0,0,0,0.36
0,0,1,0,39,1,0,1,0,1,1,1,1,1,104.7,4134.85,3.49,1,0,1,0,1,0,0,1,0,0.435
1,0,1,1,1,1,0,0,0,0,0,0,0,1,45.85,45.85,1.528333333333333,0,0,0,0,0,0,1,1,1,0.5066666666666667
1,0,1,0,56,1,0,0,0,0,0,1,1,0,89.7,4952.95,2.99,1,0,0,0,0,0,1,0,1,0.53
1,0,0,0,58,1,0,0,1,1,1,1,0,0,70.1,4048.95,2.3366666666666664,0,0,0,1,0,0,0,0,0,0.01
1,0,1,0,32,1,0,1,1,0,1,0,1,0,70.5,2201.75,2.35,0,0,1,0,0,0,1,0,0,0.04
1,0,0,0,22,1,1,1,1,0,0,0,0,0,59.0,1254.7,1.9666666666666663,0,0,0,0,0,1,0,1,0,0.22
0,0,0,0,7,1,0,0,0,0,0,0,0,0,20.0,137.6,0.6666666666666666,0,1,0,0,0,0,0,1,1,0.78
0,0,1,1,63,1,0,0,0,0,0,0,0,0,20.0,1209.25,0.6666666666666666,0,1,0,1,1,0,0,0,0,0.0
0,0,0,1,41,1,0,0,0,0,0,0,0,0,45.2,1841.9,1.5066666666666668,0,0,0,0,0,0,0,0,0,0.3
1,0,1,1,48,1,1,1,1,1,1,1,1,0,111.8,5443.65,3.7266666666666666,1,0,0,1,1,0,0,0,0,0.16
1,0,0,0,19,1,0,0,1,0,0,0,0,1,73.85,1424.5,2.4616666666666664,1,0,0,0,1,0,0,1,1,0.57
0,0,1,1,63,1,0,1,0,0,0,0,0,1,50.65,3221.25,1.6883333333333332,0,0,0,1,0,0,0,0,0,0.02
0,0,1,1,69,0,0,1,0,1,0,0,1,1,43.95,2960.1,1.465,0,0,0,1,1,0,0,0,0,0.01
1,0,1,1,8,1,0,0,0,0,0,1,0,1,54.4,475.1,1.8133333333333328,0,0,0,0,0,1,0,0,0,0.11
0,0,0,0,4,1,1,0,1,0,1,0,1,1,93.5,362.2,3.1166666666666667,1,0,0,0,0,1,0,1,1,0.8433333333333333
0,0,1,1,55,1,0,1,1,0,0,0,0,0,55.7,3131.8,1.856666666666667,0,0,0,0,0,1,0,0,0,0.09
1,0,1,1,66,0,0,0,0,1,1,1,1,0,54.65,3632.0,1.8216666666666663,0,0,0,1,0,0,0,0,0,0.0
